goethe,author,text
True_,Goethe,"ster Prinz. Vielleicht"
True_,Goethe," aber der Prinz ist ih"
True_,Goethe,"n den Prinzen. Ich bem"
True_,Goethe,"llte dem Prinzen diese"
True_,Goethe,"in des Prinzen Leben. "
True_,Goethe,"en war. Der Prinz ents"
True_,Goethe,"euerster Prinz!« »Der "
True_,Goethe," des Prinzen Namen auf"
True_,Goethe,"k des Prinzen machte A"
True_,Goethe,"nd dem Prinzen. Das ga"
True_,Goethe," an dem Prinzen, die e"
True_,Goethe,"an dem Prinzen, die er"
True_,Goethe,"n dem Prinzen, die er "
True_,Goethe,"nd auf des Prinzen Sti"
True_,Goethe,"er Treppe. »Wie gut wa"
True_,Goethe,"ferkeit u.s.f. in eine"
True_,Goethe,"nädigster Prinz,« rief"
True_,Goethe,"lieren. Der Prinz, des"
True_,Goethe,"ieren. Der Prinz, dess"
True_,Goethe,"an dem Prinzen gelegen"
True_,Goethe,"n dem Prinzen gelegen "
True_,Goethe,"en. Der Prinz, dessen "
True_,Goethe,", den Prinzen von sein"
True_,Goethe,"ich der Prinz? Konnte "
True_,Goethe,"rief der Prinz, »wen S"
True_,Goethe,"sich zum Prinzen. »Gnä"
True_,Goethe,"n. Der Prinz erwartet "
True_,Goethe,". Der Prinz erwartet n"
True_,Goethe," dem Prinzen. »Haben S"
True_,Goethe," Name des Prinzen hatt"
True_,Goethe,"zum Prinzen. »Gnädigst"
True_,Goethe,"ls er den Prinzen ansi"
True_,Goethe,"bei dem Prinzen in Die"
True_,Goethe,"ei dem Prinzen in Dien"
True_,Goethe,"e dem Prinzen einen gu"
True_,Goethe,"hallt. Der Prinz, unbe"
True_,Goethe,"allt. Der Prinz, unbew"
True_,Goethe,"h dem Prinzen ein edle"
True_,Goethe," dem Prinzen ein edles"
True_,Goethe,"des Prinzen. Die Antwo"
True_,Goethe,"ß dem Prinzen von alle"
True_,Goethe,"des Prinzen eine wicht"
True_,Goethe,"nun jenes Prinzipium k"
True_,Goethe,"n jenes Prinzipium kei"
True_,Goethe,"eil der Prinz das Gehe"
True_,Goethe,"« rief der Prinz. »Was"
True_,Goethe,", und der Prinz sieht "
True_,Goethe,"nd dem Prinzen in den "
True_,Goethe,"d dem Prinzen in den W"
True_,Goethe,". Des Prinzen Ungeduld"
True_,Goethe," Des Prinzen Ungeduld "
True_,Goethe,"ß der Prinz sich mit d"
True_,Goethe,"ürdigsten Prinzen erin"
True_,Goethe,"d des Prinzen,« fing e"
True_,Goethe,"g der Prinz an, nachde"
True_,Goethe,"erben. Der Prinz bedie"
True_,Goethe,"sich dem Prinzen den A"
True_,Goethe,"sten Prinzen erinnern "
True_,Goethe,"en. Der Prinz bedient "
True_,Goethe,"llein. Der Prinz erkun"
True_,Goethe,"e des Prinzen. Er zog "
True_,Goethe," des Prinzen. Er zog d"
True_,Goethe,"den der Prinz schon in"
True_,Goethe,"s sie den Prinzen ansi"
True_,Goethe,"zte der Prinz, »kann e"
True_,Goethe,"e den Prinzen ansichti"
True_,Goethe," den Prinzen ansichtig"
True_,Goethe,"wollte den Prinzen bei"
True_,Goethe,"ollte den Prinzen beim"
True_,Goethe,"dlich der Prinz nach e"
True_,Goethe," Aus dem Prinzen ist n"
True_,Goethe,"t unsern Prinzen damit"
True_,Goethe,"h der Prinz nach einer"
True_,Goethe,", und den Prinzen fess"
True_,Goethe,"nahm der Prinz jetzt d"
True_,Goethe,"hat der Prinz immer ri"
True_,Goethe,"d den Prinzen fesselte"
True_,Goethe," den Prinzen fesselte "
True_,Goethe,", der Prinz habe wenig"
True_,Goethe,"tzen wir uns. Lassen S"
True_,Goethe,"r Prinz war zu einer L"
True_,Goethe,"welche der Prinz von i"
True_,Goethe,"kannte des Prinzen eri"
True_,Goethe,"Der Prinz sprang auf –"
True_,Goethe,"reit, den Prinzen zu b"
True_,Goethe,"nd der Prinz noch imme"
True_,Goethe," des Prinzen erinnerte"
True_,Goethe,"on dem Prinzen von **d"
True_,Goethe,"n dem Prinzen von **d*"
True_,Goethe,"ensart des Prinzen von"
True_,Goethe,"der Prinz. »Aber keine"
True_,Goethe,"idigt; der Prinz ersch"
True_,Goethe,"der Prinz in einem ung"
True_,Goethe,"eund? Der Prinz beträg"
True_,Goethe,"t; der Prinz erscheint"
True_,Goethe," dem Prinzen mit belei"
True_,Goethe,". Der Prinz stellte si"
True_,Goethe," Wahl des Prinzen und "
True_,Goethe,"d der Prinz furchtlos "
True_,Goethe,"e. Der Armenier war ni"
True_,Goethe,"nheit des Prinzen mit "
True_,Goethe," des Prinzen und gaben"
True_,Goethe,"n denen der Prinz teil"
True_,Goethe,"wisses Prinzipium in u"
True_,Goethe,"en der Prinz teilnimmt"
True_,Goethe,"Nur der Prinz blieb ni"
True_,Goethe," der Prinz. »Und wenn "
True_,Goethe,"h. Der Prinz, sagte er"
True_,Goethe,"n bei dem Prinzen fehl"
True_,Goethe,"l sei, den Prinzen wie"
True_,Goethe,"nsers Prinzen, gleichf"
True_,Goethe,"Magier den Prinzen. De"
True_,Goethe,"suche den Prinzen bei "
True_,Goethe,"kfahrt. Der Prinz wied"
True_,Goethe,", den Prinzen wieder z"
True_,Goethe,"he den Prinzen bei Ihn"
True_,Goethe,"n unsers Prinzen sogle"
True_,Goethe," hat der Prinz einen w"
True_,Goethe,"unsers Prinzen sogleic"
True_,Goethe,"olgen. Der Prinz selbs"
True_,Goethe,"te dem Prinzen ein Fie"
True_,Goethe,"te der Prinz den Schlü"
True_,Goethe," dem Prinzen ein Fiebe"
True_,Goethe,"t Ihrem Prinzen die Au"
True_,Goethe,"« rief der Prinz. »Die"
True_,Goethe," rief der Prinz, und e"
True_,Goethe,"ster Prinz –« Er hielt"
True_,Goethe,"dlich der Prinz zu mir"
True_,Goethe,"l der Prinz alles über"
True_,Goethe," Der Prinz besann sich"
True_,Goethe," der Prinz zu mir. »Di"
True_,Goethe," mir der Prinz hierauf"
True_,Goethe,"se dem Prinzen auflegt"
True_,Goethe,"te der Prinz aus, von "
True_,Goethe,"r dem Prinzen vor die "
True_,Goethe,"uß: An den Prinzen von"
True_,Goethe,"ag, wo der Prinz nicht"
True_,Goethe," innern Prinzipium erh"
True_,Goethe,"und der Prinz konnte n"
True_,Goethe,"n den Prinzen von *** "
True_,Goethe," rief der Prinz mit Be"
True_,Goethe,"kommen. Der Prinz von "
True_,Goethe,"rnen. Der Prinz war un"
True_,Goethe,"ßer dem Prinzen der ei"
True_,Goethe,"« (Der Prinz führte wi"
True_,Goethe,"d dem Prinzen einen Br"
True_,Goethe," dem Prinzen einen Bri"
True_,Goethe,". Der Prinz von **d** "
True_,Goethe,"eben war. Wir sahen si"
True_,Goethe,"schaft den Prinzen. »D"
True_,Goethe,"chaft den Prinzen. »Di"
True_,Goethe,"heinen. Der Prinz von "
True_,Goethe,"einen. Der Prinz von *"
True_,Goethe,"t den Prinzen. »Die nä"
True_,Goethe,"ihn der Prinz auf dem "
True_,Goethe,"sich dem Prinzen und f"
True_,Goethe,"ich dem Prinzen und fr"
True_,Goethe,"gegen den Prinzen dadu"
True_,Goethe,"h dem Prinzen und frag"
True_,Goethe," sah der Prinz mich an"
True_,Goethe,"en den Prinzen dadurch"
True_,Goethe,"t, der Prinz allein st"
True_,Goethe,"kten.« Der Prinz griff"
True_,Goethe,"auch der Prinz; die Ve"
True_,Goethe,"rste, der Prinz selbst"
True_,Goethe,"achte den Prinzen neug"
True_,Goethe,"bei dem Prinzen um Geh"
True_,Goethe,"ber der Prinz ist dem "
True_,Goethe,"e den Prinzen neugieri"
True_,Goethe,"ntreten. Wir fanden de"
True_,Goethe,"eitdem der Prinz einer"
True_,Goethe,"itdem der Prinz einer "
True_,Goethe,"igster Prinz,« sagte i"
True_,Goethe,"die es dem Prinzen unm"
True_,Goethe,"Bette. Der Prior von M"
